organism,drug,year,p10,p25,median,p75,p90
Aspergillus nidulans,Posaconazole (CLSI),2020.0,0.172,0.25,0.25,0.25,0.4
Aspergillus nidulans,Posaconazole (CLSI),2021.0,0.172,0.25,0.25,0.5,0.5
Aspergillus nidulans,Posaconazole (CLSI),2023.0,0.5,0.5,0.5,0.5,0.5
Aspergillus nidulans,Voriconazole (CLSI),2010.0,0.12,0.12,0.12,0.12,0.12
Aspergillus nidulans,Voriconazole (CLSI),2012.0,0.072,0.09,0.12,0.12,0.12
Aspergillus nidulans,Voriconazole (CLSI),2013.0,0.072,0.09,0.12,0.12,0.12
Aspergillus nidulans,Voriconazole (CLSI),2014.0,0.12,0.12,0.185,0.25,0.25
Aspergillus nidulans,Voriconazole (CLSI),2015.0,0.12,0.12,0.12,0.12,0.12
Aspergillus nidulans,Voriconazole (CLSI),2016.0,0.159,0.2175,0.25,0.3125,0.42500000000000004
Aspergillus nidulans,Voriconazole (CLSI),2017.0,0.079,0.1075,0.155,0.2025,0.231
Aspergillus nidulans,Voriconazole (CLSI),2018.0,0.03,0.03,0.075,0.1525,0.21100000000000002
Aspergillus nidulans,Voriconazole (CLSI),2019.0,0.051000000000000004,0.06,0.185,0.25,0.32499999999999996
Aspergillus nidulans,Voriconazole (CLSI),2020.0,0.12,0.12,0.12,0.12,0.12
Aspergillus nidulans,Voriconazole (CLSI),2021.0,0.06,0.06,0.12,0.12,0.198
Aspergillus nidulans,Voriconazole (CLSI),2023.0,0.275,0.3125,0.375,0.4375,0.475
Aspergillus nidulans,uid,2010.0,2000072.9,2000077.25,2000084.5,2000091.75,2000096.1
Aspergillus nidulans,uid,2012.0,2002311.4,2003029.0,2004225.0,2004275.5,2004305.8
Aspergillus nidulans,uid,2013.0,2006009.2,2006009.5,2006010.0,2006011.5,2006012.4
Aspergillus nidulans,uid,2014.0,2007378.5,2007380.75,2007382.5,2007662.0,2008164.2
Aspergillus nidulans,uid,2015.0,2008872.5,2008883.75,2009298.5,2009707.75,2009709.1
Aspergillus nidulans,uid,2016.0,2010706.6,2010739.0,2011178.0,2011731.0,2011968.6
Aspergillus nidulans,uid,2017.0,2012344.0,2012351.5,2012364.0,2012376.5,2012384.0
Aspergillus nidulans,uid,2018.0,2014038.2,2014107.5,2014273.0,2014502.5,2014687.0
Aspergillus nidulans,uid,2019.0,2015970.1,2016210.25,2016513.0,2016789.0,2016830.7
Aspergillus nidulans,uid,2020.0,2017927.0,2018182.0,2018197.0,2018514.0,2018626.8
Aspergillus nidulans,uid,2021.0,2019867.4,2019928.0,2020076.0,2020528.0,2020749.4
Aspergillus nidulans,uid,2023.0,3002473.8,3002571.0,3002733.0,3002895.0,3002992.2
Aspergillus nidulans species complex,Amphotericin B (CLSI),2014.0,1.0,1.0,1.0,1.0,1.0
Aspergillus nidulans species complex,Amphotericin B (CLSI),2016.0,4.0,4.0,4.0,4.0,4.0
Aspergillus nidulans species complex,Amphotericin B (CLSI),2017.0,0.55,0.625,0.75,0.875,0.95
Aspergillus nidulans species complex,Amphotericin B (CLSI),2018.0,2.0,2.0,2.0,2.0,2.0
Aspergillus nidulans species complex,Amphotericin B (CLSI),2019.0,2.6,3.5,5.0,6.5,7.4
Aspergillus nidulans species complex,Amphotericin B (CLSI),2020.0,1.1,1.25,1.5,1.75,1.9
Aspergillus nidulans species complex,Amphotericin B (CLSI),2022.0,0.12,0.31,0.5,1.5,2.0
Aspergillus nidulans species complex,Amphotericin B (CLSI),2023.0,0.5,0.5,0.5,0.5,0.5
Aspergillus nidulans species complex,Anidulafungin (CLSI),2014.0,0.06,0.06,0.06,0.06,0.06
Aspergillus nidulans species complex,Anidulafungin (CLSI),2016.0,0.015,0.015,0.015,0.015,0.015
Aspergillus nidulans species complex,Anidulafungin (CLSI),2017.0,0.025500000000000002,0.041249999999999995,0.0675,0.09375,0.1095
Aspergillus nidulans species complex,Anidulafungin (CLSI),2018.0,0.008,0.008,0.008,0.008,0.008
Aspergillus nidulans species complex,Anidulafungin (CLSI),2019.0,0.0051,0.00675,0.0095,0.01225,0.0139
Aspergillus nidulans species complex,Anidulafungin (CLSI),2020.0,0.0087,0.00975,0.0115,0.01325,0.0143
Aspergillus nidulans species complex,Anidulafungin (CLSI),2022.0,0.0122,0.015,0.03,0.03,0.04200000000000001
Aspergillus nidulans species complex,Anidulafungin (CLSI),2023.0,0.03,0.03,0.03,0.03,0.03
Aspergillus nidulans species complex,Caspofungin (CLSI),2014.0,0.12,0.12,0.12,0.12,0.12
Aspergillus nidulans species complex,Caspofungin (CLSI),2016.0,0.008,0.008,0.008,0.008,0.008
Aspergillus nidulans species complex,Caspofungin (CLSI),2017.0,0.025500000000000002,0.041249999999999995,0.0675,0.09375,0.1095
Aspergillus nidulans species complex,Caspofungin (CLSI),2018.0,0.015,0.015,0.015,0.015,0.015
Aspergillus nidulans species complex,Caspofungin (CLSI),2019.0,0.0165,0.01875,0.0225,0.02625,0.028499999999999998
Aspergillus nidulans species complex,Caspofungin (CLSI),2020.0,0.008,0.008,0.008,0.008,0.008
Aspergillus nidulans species complex,Caspofungin (CLSI),2022.0,0.015,0.0225,0.03,0.06,0.06
Aspergillus nidulans species complex,Caspofungin (CLSI),2023.0,0.015,0.015,0.015,0.015,0.015
Aspergillus nidulans species complex,Itraconazole (CLSI),2014.0,0.12,0.12,0.12,0.12,0.12
Aspergillus nidulans species complex,Itraconazole (CLSI),2016.0,0.5,0.5,0.5,0.5,0.5
Aspergillus nidulans species complex,Itraconazole (CLSI),2017.0,0.5,0.5,0.5,0.5,0.5
Aspergillus nidulans species complex,Itraconazole (CLSI),2018.0,0.5,0.5,0.5,0.5,0.5
Aspergillus nidulans species complex,Itraconazole (CLSI),2019.0,0.158,0.215,0.31,0.405,0.462
Aspergillus nidulans species complex,Itraconazole (CLSI),2020.0,0.55,0.625,0.75,0.875,0.95
Aspergillus nidulans species complex,Itraconazole (CLSI),2022.0,0.12,0.31,0.5,0.5,0.5
Aspergillus nidulans species complex,Itraconazole (CLSI),2023.0,0.5,0.5,0.5,0.5,0.5
Aspergillus nidulans species complex,Micafungin (CLSI),2014.0,0.015,0.015,0.015,0.015,0.015
Aspergillus nidulans species complex,Micafungin (CLSI),2016.0,0.008,0.008,0.008,0.008,0.008
Aspergillus nidulans species complex,Micafungin (CLSI),2017.0,0.0102,0.0135,0.019,0.0245,0.0278
Aspergillus nidulans species complex,Micafungin (CLSI),2018.0,0.008,0.008,0.008,0.008,0.008
Aspergillus nidulans species complex,Micafungin (CLSI),2019.0,0.015,0.015,0.015,0.015,0.015
Aspergillus nidulans species complex,Micafungin (CLSI),2020.0,0.004,0.004,0.004,0.004,0.004
Aspergillus nidulans species complex,Micafungin (CLSI),2022.0,0.0032,0.006,0.008,0.015,0.015
Aspergillus nidulans species complex,Micafungin (CLSI),2023.0,0.008,0.008,0.008,0.008,0.008
Aspergillus nidulans species complex,Posaconazole (CLSI),2014.0,0.12,0.12,0.12,0.12,0.12
Aspergillus nidulans species complex,Posaconazole (CLSI),2016.0,0.12,0.12,0.12,0.12,0.12
Aspergillus nidulans species complex,Posaconazole (CLSI),2017.0,0.133,0.1525,0.185,0.2175,0.237
Aspergillus nidulans species complex,Posaconazole (CLSI),2018.0,0.25,0.25,0.25,0.25,0.25
Aspergillus nidulans species complex,Posaconazole (CLSI),2019.0,0.158,0.215,0.31,0.405,0.462
Aspergillus nidulans species complex,Posaconazole (CLSI),2020.0,0.25,0.25,0.25,0.25,0.25
Aspergillus nidulans species complex,Posaconazole (CLSI),2022.0,0.096,0.12,0.12,0.185,0.3500000000000001
Aspergillus nidulans species complex,Posaconazole (CLSI),2023.0,0.25,0.25,0.25,0.25,0.25
Aspergillus nidulans species complex,Voriconazole (CLSI),2014.0,0.06,0.06,0.06,0.06,0.06
Aspergillus nidulans species complex,Voriconazole (CLSI),2016.0,0.12,0.12,0.12,0.12,0.12
Aspergillus nidulans species complex,Voriconazole (CLSI),2017.0,0.158,0.215,0.31,0.405,0.462
Aspergillus nidulans species complex,Voriconazole (CLSI),2018.0,0.12,0.12,0.12,0.12,0.12
Aspergillus nidulans species complex,Voriconazole (CLSI),2019.0,0.079,0.1075,0.155,0.2025,0.231
Aspergillus nidulans species complex,Voriconazole (CLSI),2020.0,0.12,0.12,0.12,0.12,0.12
Aspergillus nidulans species complex,Voriconazole (CLSI),2022.0,0.096,0.12,0.12,0.12,0.17200000000000004
Aspergillus nidulans species complex,Voriconazole (CLSI),2023.0,0.12,0.12,0.12,0.12,0.12
Aspergillus nidulans species complex,uid,2014.0,2007593.0,2007593.0,2007593.0,2007593.0,2007593.0
Aspergillus nidulans species complex,uid,2016.0,2011590.0,2011590.0,2011590.0,2011590.0,2011590.0
Aspergillus nidulans species complex,uid,2017.0,2012448.3,2012462.25,2012485.5,2012508.75,2012522.7
Aspergillus nidulans species complex,uid,2018.0,2013850.0,2013850.0,2013850.0,2013850.0,2013850.0
Aspergillus nidulans species complex,uid,2019.0,2016321.8,2016324.5,2016329.0,2016333.5,2016336.2
Aspergillus nidulans species complex,uid,2020.0,2019542.0,2019543.5,2019546.0,2019548.5,2019550.0
Aspergillus nidulans species complex,uid,2022.0,3000458.6,3000613.5,3000964.0,3001241.0,3001327.0
Aspergillus nidulans species complex,uid,2023.0,3002996.0,3002996.0,3002996.0,3002996.0,3002996.0
Aspergillus niger,Amphotericin B (CLSI),2010.0,1.0,1.0,1.0,1.0,1.0
Aspergillus niger,Amphotericin B (CLSI),2013.0,0.25,0.25,0.5,1.0,1.0
Aspergillus niger,Amphotericin B (CLSI),2014.0,1.0,1.0,1.0,1.0,1.0
Aspergillus niger,Amphotericin B (CLSI),2015.0,0.25,0.375,0.5,0.75,1.0
Aspergillus niger,Amphotericin B (CLSI),2016.0,0.55,1.0,1.0,1.0,1.0
Aspergillus niger,Amphotericin B (CLSI),2017.0,0.5,0.5,0.5,0.875,1.0
Aspergillus niger,Amphotericin B (CLSI),2018.0,0.5,0.5,0.5,1.0,1.0
Aspergillus niger,Amphotericin B (CLSI),2019.0,0.5,0.5,0.75,1.0,1.0999999999999996
Aspergillus niger,Amphotericin B (CLSI),2020.0,0.5,0.5,0.5,1.0,1.0
Aspergillus niger,Amphotericin B (CLSI),2021.0,0.25,0.25,0.5,0.5,1.0
Aspergillus niger,Amphotericin B (CLSI),2023.0,0.12,0.12,0.25,0.25,0.30000000000000004
Aspergillus niger,Anidulafungin (CLSI),2010.0,0.008,0.008,0.008,0.008,0.008
Aspergillus niger,Anidulafungin (CLSI),2013.0,0.008,0.008,0.008,0.008,0.008
Aspergillus niger,Anidulafungin (CLSI),2014.0,0.008,0.008,0.008,0.00975,0.015
Aspergillus niger,Anidulafungin (CLSI),2015.0,0.008,0.008,0.008,0.0115,0.021000000000000005
Aspergillus niger,Anidulafungin (CLSI),2016.0,0.008,0.008,0.008,0.015,0.015
Aspergillus niger,Anidulafungin (CLSI),2017.0,0.008,0.008,0.008,0.008,0.015
Aspergillus niger,Anidulafungin (CLSI),2018.0,0.004,0.004,0.004,0.004,0.004799999999999997
Aspergillus niger,Anidulafungin (CLSI),2019.0,0.002,0.004,0.004,0.004,0.0043999999999999985
Aspergillus niger,Anidulafungin (CLSI),2020.0,0.008,0.008,0.008,0.015,0.015
Aspergillus niger,Anidulafungin (CLSI),2021.0,0.004,0.008,0.008,0.015,0.015
Aspergillus niger,Anidulafungin (CLSI),2023.0,0.002,0.002,0.002,0.004,0.0048000000000000004
Aspergillus niger,Caspofungin (CLSI),2010.0,0.03,0.03,0.03,0.03,0.03
Aspergillus niger,Caspofungin (CLSI),2013.0,0.010100000000000001,0.015,0.0225,0.03,0.06
Aspergillus niger,Caspofungin (CLSI),2014.0,0.015,0.015,0.0225,0.03,0.03899999999999999
Aspergillus niger,Caspofungin (CLSI),2015.0,0.015,0.015,0.015,0.0225,0.03
Aspergillus niger,Caspofungin (CLSI),2016.0,0.015,0.015,0.015,0.03,0.03
Aspergillus niger,Caspofungin (CLSI),2017.0,0.015,0.015,0.0225,0.03,0.03
Aspergillus niger,Caspofungin (CLSI),2018.0,0.008,0.008,0.015,0.015,0.017999999999999988
Aspergillus niger,Caspofungin (CLSI),2019.0,0.008,0.00975,0.015,0.015,0.03
Aspergillus niger,Caspofungin (CLSI),2020.0,0.009400000000000002,0.015,0.015,0.03,0.03
Aspergillus niger,Caspofungin (CLSI),2021.0,0.015,0.015,0.015,0.03,0.06
Aspergillus niger,Caspofungin (CLSI),2023.0,0.008,0.008,0.015,0.015,0.015
Aspergillus niger,Itraconazole (CLSI),2013.0,1.0,1.0,2.0,2.0,2.0
Aspergillus niger,Itraconazole (CLSI),2014.0,0.8500000000000001,1.0,1.0,1.0,1.0
Aspergillus niger,Itraconazole (CLSI),2015.0,0.25,0.25,1.0,1.5,2.0
Aspergillus niger,Itraconazole (CLSI),2016.0,1.0,1.0,1.0,1.0,1.9000000000000004
Aspergillus niger,Itraconazole (CLSI),2017.0,1.3,2.0,2.0,2.0,3.400000000000002
Aspergillus niger,Itraconazole (CLSI),2018.0,1.7000000000000002,2.0,2.0,2.0,2.6000000000000014
Aspergillus niger,Itraconazole (CLSI),2019.0,0.475,0.625,1.5,2.0,2.0
Aspergillus niger,Itraconazole (CLSI),2020.0,1.0,1.0,1.0,2.0,2.0
Aspergillus niger,Itraconazole (CLSI),2021.0,1.0,1.0,2.0,2.0,4.0
Aspergillus niger,Itraconazole (CLSI),2023.0,0.5,0.5,1.0,1.0,1.6000000000000005
Aspergillus niger,Micafungin (CLSI),2010.0,0.008,0.008,0.008,0.008,0.008
Aspergillus niger,Micafungin (CLSI),2013.0,0.008,0.008,0.008,0.01325,0.03
Aspergillus niger,Micafungin (CLSI),2014.0,0.008,0.008,0.008,0.008,0.008
Aspergillus niger,Micafungin (CLSI),2015.0,0.008,0.008,0.008,0.008,0.008
Aspergillus niger,Micafungin (CLSI),2016.0,0.008,0.01325,0.015,0.015,0.028500000000000004
Aspergillus niger,Micafungin (CLSI),2017.0,0.015,0.015,0.015,0.015,0.03
Aspergillus niger,Micafungin (CLSI),2018.0,0.004,0.004,0.004,0.008,0.008
Aspergillus niger,Micafungin (CLSI),2019.0,0.0038,0.004,0.004,0.004,0.008
Aspergillus niger,Micafungin (CLSI),2020.0,0.008,0.008,0.015,0.03,0.03
Aspergillus niger,Micafungin (CLSI),2021.0,0.002,0.004,0.004,0.008,0.015
Aspergillus niger,Micafungin (CLSI),2023.0,0.002,0.002,0.004,0.004,0.004
Aspergillus niger,Posaconazole (CLSI),2013.0,0.5,0.5,0.5,0.875,1.0
Aspergillus niger,Posaconazole (CLSI),2014.0,0.5,0.5,0.5,0.5,0.6499999999999999
Aspergillus niger,Posaconazole (CLSI),2015.0,0.096,0.185,0.5,0.5,0.7000000000000002
Aspergillus niger,Posaconazole (CLSI),2016.0,0.275,0.5,0.5,0.5,0.5
Aspergillus niger,Posaconazole (CLSI),2017.0,0.5,0.5,0.5,0.875,1.0
Aspergillus niger,Posaconazole (CLSI),2018.0,0.5,0.5,0.5,0.5,1.0
Aspergillus niger,Posaconazole (CLSI),2019.0,0.475,0.5,0.5,0.5,0.5
Aspergillus niger,Posaconazole (CLSI),2020.0,0.5,0.5,0.5,0.5,0.9000000000000004
Aspergillus niger,Posaconazole (CLSI),2021.0,0.5,0.5,0.5,0.5,0.5
Aspergillus niger,Posaconazole (CLSI),2023.0,0.25,0.25,0.25,0.25,0.30000000000000004
Aspergillus niger,Voriconazole (CLSI),2013.0,0.5,0.5,0.75,1.0,1.0
Aspergillus niger,Voriconazole (CLSI),2014.0,0.5,0.5,0.5,1.0,1.0
Aspergillus niger,Voriconazole (CLSI),2015.0,0.198,0.25,1.0,1.0,1.0
Aspergillus niger,Voriconazole (CLSI),2016.0,0.5,0.5,1.0,1.0,1.0
Aspergillus niger,Voriconazole (CLSI),2017.0,0.5,0.625,1.0,1.0,1.0
Aspergillus niger,Voriconazole (CLSI),2018.0,0.5,1.0,1.0,1.0,2.0
Aspergillus niger,Voriconazole (CLSI),2019.0,0.475,0.5,0.5,0.5,1.0
Aspergillus niger,Voriconazole (CLSI),2020.0,0.5,0.5,0.5,1.0,1.0
Aspergillus niger,Voriconazole (CLSI),2021.0,0.5,0.5,1.0,1.0,2.0
Aspergillus niger,Voriconazole (CLSI),2023.0,0.5,0.5,0.5,1.0,1.0
Aspergillus niger,uid,2010.0,2001196.0,2001196.0,2001196.0,2001196.0,2001196.0
Aspergillus niger,uid,2013.0,2005216.1,2005289.75,2006051.0,2006543.75,2006858.6
Aspergillus niger,uid,2014.0,2007148.9,2007176.5,2007685.0,2007888.25,2008492.9
Aspergillus niger,uid,2015.0,2008656.2,2008872.0,2009191.0,2009774.5,2010358.4
Aspergillus niger,uid,2016.0,2010963.5,2011247.75,2011500.0,2011589.25,2011600.2
Aspergillus niger,uid,2017.0,2012271.7,2012346.5,2012603.5,2013078.75,2013381.8
Aspergillus niger,uid,2018.0,2014030.2,2014065.5,2014518.0,2014961.0,2015329.6
Aspergillus niger,uid,2019.0,2016302.6,2016548.5,2016788.5,2017105.75,2017285.9
Aspergillus niger,uid,2020.0,2018619.0,2018693.0,2019128.0,2019283.0,2019324.6
Aspergillus niger,uid,2021.0,2019998.0,2020767.0,2020935.0,2021151.0,2021478.0
Aspergillus niger,uid,2023.0,3002413.4,3002847.0,3002926.0,3003007.0,3003219.6
Aspergillus niger species complex,Amphotericin B (CLSI),2010.0,1.0,1.0,2.0,2.0,2.0
Aspergillus niger species complex,Amphotericin B (CLSI),2011.0,1.0,1.0,1.0,1.0,1.0
Aspergillus niger species complex,Amphotericin B (CLSI),2012.0,1.0,1.0,1.0,1.0,1.0
Aspergillus niger species complex,Amphotericin B (CLSI),2013.0,0.45,0.5,1.0,1.0,1.0
Aspergillus niger species complex,Amphotericin B (CLSI),2014.0,0.5,0.875,1.0,1.0,1.0
Aspergillus niger species complex,Amphotericin B (CLSI),2015.0,0.325,0.5,0.5,0.5,0.8500000000000005
Aspergillus niger species complex,Amphotericin B (CLSI),2016.0,0.45,1.0,1.0,1.0,1.0
Aspergillus niger species complex,Amphotericin B (CLSI),2017.0,0.5,0.5,0.5,0.625,0.8500000000000001
Aspergillus niger species complex,Amphotericin B (CLSI),2018.0,0.21100000000000002,0.25,0.375,0.5,0.6499999999999999
Aspergillus niger species complex,Amphotericin B (CLSI),2019.0,0.5,0.5,1.0,1.0,1.0
Aspergillus niger species complex,Amphotericin B (CLSI),2020.0,0.5,0.5,0.5,0.5,1.0
Aspergillus niger species complex,Amphotericin B (CLSI),2021.0,0.25,0.25,0.25,0.5,0.5
Aspergillus niger species complex,Amphotericin B (CLSI),2022.0,0.12,0.12,0.185,0.25,0.25
Aspergillus niger species complex,Amphotericin B (CLSI),2023.0,0.12,0.12,0.25,0.25,0.5
Aspergillus niger species complex,Anidulafungin (CLSI),2010.0,0.008,0.008,0.008,0.015,0.015
Aspergillus niger species complex,Anidulafungin (CLSI),2011.0,0.008,0.008,0.008,0.015,0.03
Aspergillus niger species complex,Anidulafungin (CLSI),2012.0,0.008,0.008,0.008,0.008,0.008
Aspergillus niger species complex,Anidulafungin (CLSI),2013.0,0.008,0.008,0.008,0.008,0.015
Aspergillus niger species complex,Anidulafungin (CLSI),2014.0,0.008,0.008,0.008,0.008,0.010099999999999998
Aspergillus niger species complex,Anidulafungin (CLSI),2015.0,0.008,0.008,0.008,0.01325,0.015
Aspergillus niger species complex,Anidulafungin (CLSI),2016.0,0.008,0.008,0.008,0.015,0.015
Aspergillus niger species complex,Anidulafungin (CLSI),2017.0,0.010100000000000001,0.01325,0.015,0.01875,0.025500000000000002
Aspergillus niger species complex,Anidulafungin (CLSI),2018.0,0.0034000000000000002,0.004,0.004,0.004,0.0052
Aspergillus niger species complex,Anidulafungin (CLSI),2019.0,0.002,0.002,0.002,0.004,0.0064000000000000055
Aspergillus niger species complex,Anidulafungin (CLSI),2020.0,0.004,0.004,0.008,0.008,0.012900000000000007
Aspergillus niger species complex,Anidulafungin (CLSI),2021.0,0.008,0.008,0.008,0.015,0.015
Aspergillus niger species complex,Anidulafungin (CLSI),2022.0,0.002,0.002,0.004,0.004,0.008
Aspergillus niger species complex,Anidulafungin (CLSI),2023.0,0.002,0.004,0.004,0.004,0.008
Aspergillus niger species complex,Caspofungin (CLSI),2010.0,0.03,0.03,0.03,0.03,0.084
Aspergillus niger species complex,Caspofungin (CLSI),2011.0,0.015,0.015,0.015,0.03,0.036000000000000004
Aspergillus niger species complex,Caspofungin (CLSI),2012.0,0.015,0.015,0.015,0.015,0.03
Aspergillus niger species complex,Caspofungin (CLSI),2013.0,0.015,0.015,0.015,0.03,0.06
Aspergillus niger species complex,Caspofungin (CLSI),2014.0,0.015,0.015,0.0225,0.03,0.03
Aspergillus niger species complex,Caspofungin (CLSI),2015.0,0.010100000000000001,0.015,0.03,0.03,0.03
Aspergillus niger species complex,Caspofungin (CLSI),2016.0,0.015,0.015,0.015,0.03,0.036000000000000004
Aspergillus niger species complex,Caspofungin (CLSI),2017.0,0.0195,0.02625,0.03,0.0375,0.051000000000000004
Aspergillus niger species complex,Caspofungin (CLSI),2018.0,0.0068000000000000005,0.008,0.015,0.015,0.019499999999999997
Aspergillus niger species complex,Caspofungin (CLSI),2019.0,0.008,0.008,0.015,0.015,0.03
Aspergillus niger species complex,Caspofungin (CLSI),2020.0,0.008,0.008,0.015,0.02625,0.03
Aspergillus niger species complex,Caspofungin (CLSI),2021.0,0.015,0.02625,0.03,0.03,0.03
Aspergillus niger species complex,Caspofungin (CLSI),2022.0,0.014300000000000002,0.015,0.03,0.03,0.03
Aspergillus niger species complex,Caspofungin (CLSI),2023.0,0.008,0.015,0.015,0.03,0.03
Aspergillus niger species complex,Itraconazole (CLSI),2010.0,1.0,1.0,1.0,1.0,1.6
Aspergillus niger species complex,Itraconazole (CLSI),2011.0,1.0,1.0,2.0,2.0,2.0
Aspergillus niger species complex,Itraconazole (CLSI),2012.0,1.0,1.0,1.0,2.0,2.1999999999999993
Aspergillus niger species complex,Itraconazole (CLSI),2013.0,0.25,0.25,0.5,2.0,2.4000000000000004
Aspergillus niger species complex,Itraconazole (CLSI),2014.0,0.386,0.875,1.0,1.25,2.0
Aspergillus niger species complex,Itraconazole (CLSI),2015.0,1.0,1.0,2.0,2.0,3.400000000000002
Aspergillus niger species complex,Itraconazole (CLSI),2016.0,0.45,1.0,1.0,1.0,1.2000000000000002
Aspergillus niger species complex,Itraconazole (CLSI),2017.0,0.9500000000000001,1.625,2.0,2.5,3.4000000000000004
Aspergillus niger species complex,Itraconazole (CLSI),2018.0,0.775,1.75,3.0,8.0,8.0
Aspergillus niger species complex,Itraconazole (CLSI),2019.0,1.0,1.0,1.0,2.0,2.0
Aspergillus niger species complex,Itraconazole (CLSI),2020.0,1.0,1.0,1.5,2.0,4.0
Aspergillus niger species complex,Itraconazole (CLSI),2021.0,1.2000000000000002,2.0,4.0,8.0,16.0
Aspergillus niger species complex,Itraconazole (CLSI),2022.0,1.0,1.0,1.0,4.0,8.800000000000011
Aspergillus niger species complex,Itraconazole (CLSI),2023.0,1.0,1.0,4.0,16.0,16.0
Aspergillus niger species complex,Micafungin (CLSI),2010.0,0.008,0.008,0.008,0.008,0.008
Aspergillus niger species complex,Micafungin (CLSI),2011.0,0.008,0.008,0.008,0.015,0.03
Aspergillus niger species complex,Micafungin (CLSI),2012.0,0.008,0.008,0.008,0.008,0.008699999999999998
Aspergillus niger species complex,Micafungin (CLSI),2013.0,0.008,0.008,0.015,0.015,0.03
Aspergillus niger species complex,Micafungin (CLSI),2014.0,0.008,0.008,0.0115,0.01875,0.03
Aspergillus niger species complex,Micafungin (CLSI),2015.0,0.008,0.008,0.008,0.015,0.015
Aspergillus niger species complex,Micafungin (CLSI),2016.0,0.008,0.015,0.015,0.015,0.018000000000000002
Aspergillus niger species complex,Micafungin (CLSI),2017.0,0.015,0.015,0.0225,0.0375,0.051000000000000004
Aspergillus niger species complex,Micafungin (CLSI),2018.0,0.0034000000000000002,0.004,0.006,0.008,0.010099999999999998
Aspergillus niger species complex,Micafungin (CLSI),2019.0,0.002,0.004,0.004,0.008,0.015
Aspergillus niger species complex,Micafungin (CLSI),2020.0,0.004,0.004,0.008,0.01325,0.015
Aspergillus niger species complex,Micafungin (CLSI),2021.0,0.0048000000000000004,0.008,0.015,0.015,0.015
Aspergillus niger species complex,Micafungin (CLSI),2022.0,0.004,0.004,0.008,0.008,0.015
Aspergillus niger species complex,Micafungin (CLSI),2023.0,0.002,0.002,0.004,0.008,0.010800000000000002
Aspergillus niger species complex,Posaconazole (CLSI),2010.0,0.5,0.5,0.5,0.5,0.5
Aspergillus niger species complex,Posaconazole (CLSI),2011.0,0.5,0.5,1.0,1.0,1.0
Aspergillus niger species complex,Posaconazole (CLSI),2012.0,0.5,0.5,0.75,1.0,1.0
Aspergillus niger species complex,Posaconazole (CLSI),2013.0,0.12,0.12,0.25,0.5,0.6000000000000001
Aspergillus niger species complex,Posaconazole (CLSI),2014.0,0.368,0.5,0.75,1.0,1.0
Aspergillus niger species complex,Posaconazole (CLSI),2015.0,0.5,0.5,0.5,0.5,0.5
Aspergillus niger species complex,Posaconazole (CLSI),2016.0,0.108,0.25,0.5,0.5,0.5
Aspergillus niger species complex,Posaconazole (CLSI),2017.0,0.47500000000000003,0.8125,1.0,1.0,1.0
Aspergillus niger species complex,Posaconazole (CLSI),2018.0,0.21100000000000002,0.4375,0.75,1.0,1.0
Aspergillus niger species complex,Posaconazole (CLSI),2019.0,0.3500000000000001,0.5,0.5,0.5,0.5
Aspergillus niger species complex,Posaconazole (CLSI),2020.0,0.325,0.5,0.5,0.5,1.0
Aspergillus niger species complex,Posaconazole (CLSI),2021.0,0.5,0.5,0.5,1.0,1.0
Aspergillus niger species complex,Posaconazole (CLSI),2022.0,0.25,0.25,0.25,0.4375,0.5
Aspergillus niger species complex,Posaconazole (CLSI),2023.0,0.25,0.25,0.5,0.5,1.0
Aspergillus niger species complex,Voriconazole (CLSI),2010.0,0.5,0.5,0.5,0.5,0.8
Aspergillus niger species complex,Voriconazole (CLSI),2011.0,0.5,0.5,1.0,1.0,2.0
Aspergillus niger species complex,Voriconazole (CLSI),2012.0,0.5,0.5,0.5,1.0,1.0999999999999996
Aspergillus niger species complex,Voriconazole (CLSI),2013.0,0.06,0.06,0.12,1.0,2.0
Aspergillus niger species complex,Voriconazole (CLSI),2014.0,0.386,0.875,1.0,2.0,2.0
Aspergillus niger species complex,Voriconazole (CLSI),2015.0,0.5,1.0,1.0,1.0,1.0
Aspergillus niger species complex,Voriconazole (CLSI),2016.0,0.03,0.5,0.5,1.0,1.0
Aspergillus niger species complex,Voriconazole (CLSI),2017.0,0.38400000000000006,0.78,1.0,1.25,1.7000000000000002
Aspergillus niger species complex,Voriconazole (CLSI),2018.0,0.386,0.875,1.5,2.0,2.5999999999999996
Aspergillus niger species complex,Voriconazole (CLSI),2019.0,0.5,0.5,0.5,1.0,2.0
Aspergillus niger species complex,Voriconazole (CLSI),2020.0,0.5,0.5,1.0,1.0,2.0
Aspergillus niger species complex,Voriconazole (CLSI),2021.0,0.5,1.0,2.0,2.0,2.0
Aspergillus niger species complex,Voriconazole (CLSI),2022.0,0.5,1.0,1.0,1.75,2.0
Aspergillus niger species complex,Voriconazole (CLSI),2023.0,0.8,1.0,2.0,4.0,4.0
Aspergillus niger species complex,uid,2010.0,2000344.2,2000823.0,2001081.0,2001202.0,2001251.2
Aspergillus niger species complex,uid,2011.0,2002323.4,2002556.0,2002655.0,2002704.0,2003094.4
Aspergillus niger species complex,uid,2012.0,2001831.9,2001858.75,2004327.0,2004588.5,2004957.5
Aspergillus niger species complex,uid,2013.0,2005629.6,2005797.0,2005801.0,2006085.0,2006754.8
